,question,context,answer
44,Find the total amount of cash deposited on odd-numbered dates.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(transaction_amount) FROM master_table WHERE DAY(date) % 2 = 1 AND transaction_type = 'deposits';
45,Calculate the average transaction amount per transaction type.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT AVG(transaction_amount) AS average_amount, transaction_type FROM master_table GROUP BY transaction_type;"
46,What is the average transaction amount for each transaction type?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT avg(transaction_amount), transaction_type from master_table group by transaction_type;"
47,Find the ATM model with the highest total transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT atm_model_name, SUM(transaction_amount) AS total_transactions_amount FROM master_table GROUP BY atm_model_name ORDER BY total_transactions_amount DESC LIMIT 1;"
48,List the top 5 dates with the highest total transaction amounts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, SUM(transaction_amount) AS total_transaction_amount FROM master_table GROUP BY date ORDER BY total_transaction_amount DESC LIMIT 5;"
49,How many transactions were made on weekends?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT COUNT(*) FROM master_table WHERE DAYOFWEEK(date) IN (1, 7);"
50,List the top 10 dates with the lowest total transaction amounts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, SUM(transaction_amount) AS total_transaction_amount FROM master_table GROUP BY date ORDER BY total_transaction_amount ASC LIMIT 10;"
51,How many transactions occurred in each month?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT MONTH(date) AS month, COUNT(*) AS total_transactions FROM master_table GROUP BY month;"
52,Identify the dates with the highest number of cash withdrawals.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, COUNT(*) AS withdrawal_count FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY date ORDER BY withdrawal_count DESC LIMIT 1;"
53,"Calculate the total transactions per hour on a specific date and hour (e.g., 2023-12-30  at 12:00).","CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) As Total_transaction FROM master_table WHERE date = '2023-12-30 12:00:00';
54,How many unique denominations were used for transactions?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(DISTINCT denomination_id) FROM master_table;
55,Find the ATM model with the lowest total transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT atm_model_name, SUM(transaction_amount) AS total_transactions_amount FROM master_table GROUP BY atm_model_name ORDER BY total_transactions_amount ASC LIMIT 1;"
56,How many transactions occurred on weekdays?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) FROM transactions WHERE DAYOFWEEK(date) BETWEEN 2 AND 6;
57,"What is the total transaction amount on a specific date (e.g., 2023-12-30)?","CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(transaction_amount) AS total_amount FROM master_table WHERE date = '2023-12-30';
58,List the top 5 dates with the highest number of cash withdrawals.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, COUNT(*) AS withdrawal_count FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY date ORDER BY withdrawal_count DESC LIMIT 5;"
59,List the dates with more than 500 transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT date FROM master_table GROUP BY date HAVING COUNT(*) > 500;
60,How many transactions occurred in each year?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT YEAR(date) AS year, COUNT(*) AS total_transactions FROM master_table GROUP BY year;"
61,List the top 5 dates with the highest total cash deposits.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, SUM(transaction_amount) AS total_cash_deposits FROM master_table WHERE transaction_type = 'deposits' GROUP BY date ORDER BY total_cash_deposits DESC LIMIT 5;"
62,How many transactions occurred in each quarter of the year?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT QUARTER(date) AS quarter, COUNT(*) AS total_transactions FROM master_table GROUP BY quarter;"
63,Identify the ATM models with only cash withdrawals and no deposits.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT atm_model_name FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY atm_model_name HAVING COUNT(*) > 0 AND COUNT(DISTINCT transaction_type) = 1;
64,What is the average transaction amount for each year?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT YEAR(date) AS year, AVG(transaction_amount) AS average_amount FROM master_table GROUP BY year;"
65,List the top 5 dates with the highest total ATM model counts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, COUNT(DISTINCT atm_model_name) AS total_models FROM master_table GROUP BY date ORDER BY total_models DESC LIMIT 5;"
66,Identify the denominations with the lowest total transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type, transaction_amount from master_table order by transaction_amount ASC limit 1;"
67,List the top 10 dates with the highest total ATM model counts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, COUNT(DISTINCT atm_model_name) AS total_models FROM master_table GROUP BY date ORDER BY total_models DESC LIMIT 10;"
68,How many transactions occurred in each month of the year?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT MONTH(date) AS month, COUNT(*) AS total_transactions FROM master_table GROUP BY month;"
69,List the dates with more than 200 cash withdrawals.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT date FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY date HAVING COUNT(*) > 200;
70,List the dates with more than 300 cash deposits.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT date FROM master_table WHERE transaction_type = 'deposits' GROUP BY date HAVING COUNT(*) > 300;
71,How many unique customers have made transactions?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(DISTINCT customer_id) FROM transactions;
72,List the top 5 dates with the highest total transaction amounts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, SUM(transaction_amount) AS total_amount FROM master_table GROUP BY date ORDER BY total_amount DESC LIMIT 5;"
73,How many transactions occurred in each month?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT MONTH(date) AS month, COUNT(*) AS total_transactions FROM transactions GROUP BY month;"
74,Identify the dates with the highest number of withdrawals.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, COUNT(*) AS withdrawal_count FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY date ORDER BY withdrawal_count DESC LIMIT 1;"
75,"Calculate the total transactions per hour on a specific date and hour (e.g., 2024-03-10 at 14:00).","CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) FROM master_table WHERE date = '2024-03-10 14:00:00';
76,List the dates with more than 100 transactions.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT date FROM master_table GROUP BY date HAVING COUNT(*) > 100;
77,"What is the total transaction amount on a specific date (e.g., 2023-04-05)?","CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(transaction_amount) AS total_amount FROM master_table WHERE date = '2023-04-05';
78,How many transactions occurred in each hour of the day?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT HOUR(date) AS hour, COUNT(*) AS total_transactions FROM master_table GROUP BY hour;"
79,What is the total number of transactions in the database?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) FROM master_table;
80,Identify the accounts with the highest total transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT account_number, SUM(transaction_amount) AS total_amount FROM master_table GROUP BY account_number ORDER BY total_amount DESC LIMIT 1;"
81,What is the average transaction amount for each year?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT YEAR(date) AS year, AVG(transaction_amount) AS average_amount FROM master_table GROUP BY year;"
82,List the top 10 dates with the highest total ATM model counts.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT date, COUNT(DISTINCT atm_model_id) AS total_models FROM transactions GROUP BY date ORDER BY total_models DESC LIMIT 10;"
83,Identify the denominations with the highest total transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type,transaction_amount from master_table order by transaction_amount DESC limit 1;"
84,Identify the denominations with the lowest total transaction amount.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT denomination_type,transaction_amount from master_table order by transaction_amount ASC limit 1;"
85,How many transactions occurred in each month of the year?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);","SELECT MONTH(date) AS month, COUNT(*) AS total_transactions FROM master_table GROUP BY month;"
86,What is the total amount of cash deposited on 2023-12-30?,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT SUM(transaction_amount) FROM master_table WHERE date = '2023-12-30';
87,"Calculate the total transactions per hour on a specific date and hour (e.g., 2023-12-30 at 14:00).","CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT COUNT(*) FROM master_table WHERE date = '2023-12-30 14:00:00';
88,Identify the ATMs with only withdrawals and no deposits.,"CREATE TABLE master_table (master_id int, account_number int, transaction_id int, transaction_type VARCHAR, transaction_amount float, denomination_id int, denomination_type int, Total_amount float ,atm_model_name varchar, Date Date);",SELECT atm_model_name FROM master_table WHERE transaction_type = 'withdrawals' GROUP BY atm_model_name HAVING COUNT(DISTINCT transaction_type) = 1;
